AncSpider.py: Starting start_requests
Attempting to add data to MongoDB: {'id': 1331, 'name': 'David Rodgers Park Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'David Rodgers Park 2800 1st AVE W Seattle, WA, 98119', 'available_times': '2024-11-02 04:00:00-00:30:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1330, 'name': 'David Rodgers Park Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'David Rodgers Park 2800 1st AVE W Seattle, WA, 98119', 'available_times': '2024-11-02 04:00:00-11:00:00\n2024-11-02 11:30:00-00:30:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1326, 'name': 'Bryant Playground Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bryant Playground 4103 NE 65th ST Seattle, WA, 98115', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1325, 'name': 'Bryant Playground Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bryant Playground 4103 NE 65th ST Seattle, WA, 98115', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1324, 'name': 'Brighton Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Brighton Playfield 6000 39th AVE S Seattle, WA, 98136', 'available_times': '2024-11-02 06:00:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1323, 'name': 'Brighton Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Brighton Playfield 6000 39th AVE S Seattle, WA, 98136', 'available_times': '2024-11-02 06:00:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1318, 'name': 'Bitter Lake Playfield Tennis Court 04', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1317, 'name': 'Bitter Lake Playfield Tennis Court 03', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-09:30:00\n2024-11-02 10:30:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1316, 'name': 'Bitter Lake Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-09:30:00\n2024-11-02 10:30:00-12:00:00\n2024-11-02 15:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1315, 'name': 'Bitter Lake Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-12:00:00\n2024-11-02 15:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1320, 'name': 'Beacon Hill Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144', 'available_times': '2024-11-02 08:30:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1319, 'name': 'Beacon Hill Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-22:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 284, 'name': 'AYTC Outdoor Tennis Court 06', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 283, 'name': 'AYTC Outdoor Tennis Court 05', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 282, 'name': 'AYTC Outdoor Tennis Court 04', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 281, 'name': 'AYTC Outdoor Tennis Court 03', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 280, 'name': 'AYTC Outdoor Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 279, 'name': 'AYTC Outdoor Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-10:00:00\n2024-11-02 10:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1147, 'name': 'Alki Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Alki Playfield 5817 SW Lander ST Seattle, WA, 98136', 'available_times': '2024-11-02 08:30:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1146, 'name': 'Alki Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Alki Playfield 5817 SW Lander ST Seattle, WA, 98136', 'available_times': '2024-11-02 08:30:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: Starting start_requests
AncSpider.py: In parse function
AncSpider.py: In loggedin function
AncSpider.py: In listing function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1331, 'name': 'David Rodgers Park Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'David Rodgers Park 2800 1st AVE W Seattle, WA, 98119', 'available_times': '2024-11-02 04:00:00-00:30:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1330, 'name': 'David Rodgers Park Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'David Rodgers Park 2800 1st AVE W Seattle, WA, 98119', 'available_times': '2024-11-02 04:00:00-11:00:00\n2024-11-02 11:30:00-00:30:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1326, 'name': 'Bryant Playground Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bryant Playground 4103 NE 65th ST Seattle, WA, 98115', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1325, 'name': 'Bryant Playground Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bryant Playground 4103 NE 65th ST Seattle, WA, 98115', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1324, 'name': 'Brighton Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Brighton Playfield 6000 39th AVE S Seattle, WA, 98136', 'available_times': '2024-11-02 06:00:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1323, 'name': 'Brighton Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Brighton Playfield 6000 39th AVE S Seattle, WA, 98136', 'available_times': '2024-11-02 06:00:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1318, 'name': 'Bitter Lake Playfield Tennis Court 04', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1317, 'name': 'Bitter Lake Playfield Tennis Court 03', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-09:30:00\n2024-11-02 10:30:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1316, 'name': 'Bitter Lake Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-09:30:00\n2024-11-02 10:30:00-12:00:00\n2024-11-02 15:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1315, 'name': 'Bitter Lake Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Bitter Lake Playfield 13035 Linden AVE N Seattle, WA, 98133', 'available_times': '2024-11-02 07:00:00-12:00:00\n2024-11-02 15:00:00-22:45:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1320, 'name': 'Beacon Hill Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144', 'available_times': '2024-11-02 08:30:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1319, 'name': 'Beacon Hill Playfield Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Beacon Hill Playfield 1902 13th AVE S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-22:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 284, 'name': 'AYTC Outdoor Tennis Court 06', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 283, 'name': 'AYTC Outdoor Tennis Court 05', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 282, 'name': 'AYTC Outdoor Tennis Court 04', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 281, 'name': 'AYTC Outdoor Tennis Court 03', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 280, 'name': 'AYTC Outdoor Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 279, 'name': 'AYTC Outdoor Tennis Court 01', 'facility_type': 'Tennis Court - Outdoor (AYTC)', 'address': 'Amy Yee Tennis Center (AYTC) 2000 Martin Luther King Jr. WAY S Seattle, WA, 98144', 'available_times': '2024-11-02 07:00:00-10:00:00\n2024-11-02 10:00:00-19:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In details function
AncSpider.py: In details function
AncSpider.py: In dates function
Attempting to add data to MongoDB: {'id': 1147, 'name': 'Alki Playfield Tennis Court 02', 'facility_type': 'Tennis Court - Outdoor (Citywide)', 'address': 'Alki Playfield 5817 SW Lander ST Seattle, WA, 98136', 'available_times': '2024-11-02 08:30:00-00:00:00'}
Error adding data to MongoDB: bad auth : authentication failed, full error: {'ok': 0, 'errmsg': 'bad auth : authentication failed', 'code': 8000, 'codeName': 'AtlasError'}
AncSpider.py: In dates function
